i10-index,location_city,# of Pubs,location_state,location_latitude,H-index (m),H-index (recent),location_longitude,G-index (recent),H-index,location_zip,location_street,i10-index (recent),# of Pubs (recent),Cited by (recent),Organization,G-index,Cited by
1,Houston,4,TX,29.763831,1,1,-95.359530,3,2,77002-1014,1 Main Street,0,3,5,University of Houston-Downtown,4,25
0,,1,,,1,1,,1,1,,,0,1,3,Max Planck Institute for Solar System Research,1,3
0,East Lansing,1,MI,42.735042,0,0,-84.480490,0,0,48823,331 East Grand River Ave,0,1,0,J Craig Venter Institute,0,0
1,,1,,,1,0,,0,1,,,0,0,0,National Autonomous University of Mexico,1,36
2,Durham,6,NH,43.134235,0.375,2,-70.934512,4,3,03824-3547,"105 Main St., Thompson Hall",1,4,16,University of New Hampshire,6,39
2,,2,,,0.5,1,,1,2,,,1,1,25,Nagoya University,2,127
0,Albany,1,NY,42.686917,0,0,-73.825014,0,0,12222,1400 Washington Avenue,0,1,0,SUNY at Albany,0,0
9,Saint Louis,26,MO,38.648125,0.391,7,-90.311639,20,9,63130-4899,One Brookings Drive,5,20,653,Washington University in St. Louis,26,956
1,East Liverpool,3,OH,40.617264,0.5,2,-80.576918,3,2,43920,400 E 4th St,1,3,22,University of Liverpool,3,22
0,,1,,,1,1,,1,1,,,0,1,1,Masaryk University,1,1
0,Toledo,3,OH,41.657950,0.333,1,-83.615225,2,1,43606-3390,2801 W Bancroft,0,3,4,University of Toledo,2,4
0,New Brunswick,1,NJ,40.503796,1,1,-74.450510,1,1,08901-1281,83 Somerset St,0,1,2,Rutgers University,1,2
0,,2,,,0,0,,0,0,,,0,2,0,Julich Research Centre,0,0
0,Saint Paul,1,MN,44.936709,1,1,-93.169855,1,1,55105-1899,1600 Grand Ave,0,1,3,Macalester College,1,3
1,Columbia,13,SC,33.998973,0.667,4,-81.026971,7,4,29208,Columbia-Campus,1,12,38,University of South Carolina,7,41
0,Buffalo,7,NY,42.934199,0.667,2,-78.880670,3,2,14222,1300 Elmwood Ave,0,7,8,SUNY at Buffalo,3,8
1,,4,,,0.333,2,,3,2,,,0,3,8,Max Planck Institute for Astronomy,4,27
0,Denton,2,TX,33.210958,0.5,2,-97.151211,2,2,76203-1277,1501 W.Chestnut Ave.,0,2,5,University of North Texas,2,5
0,Chicago,2,IL,41.999161,0,0,-87.657399,0,0,60660,1032 W. Sheridan Rd,0,2,0,Loyola University Chicago,0,0
0,,1,,,1,1,,1,1,,,0,1,3,Ponce Health Sciences University,1,3
1,,2,,,0.667,2,,2,2,,,1,2,30,NASA Goddard Space Flight Center,2,30
0,Columbia,2,MO,38.941015,0.333,1,-92.326429,1,2,65211,105 Jesse Hall,0,1,3,"University of Missouri, Columbia",2,6
28,Pasadena,58,CA,34.139275,1.778,15,-118.125740,31,16,91125,1200 E California Blvd,23,52,967,California Institute of Technology,38,1398
10,,26,,,0.769,4,,8,10,,,3,14,54,Argonne National Laboratory,24,540
0,,1,,,1,0,,0,1,,,0,0,0,Virginia Institute of Marine Science,1,3
1,Lincoln,1,NE,40.822272,1,0,-96.702177,0,1,68588,14th and R St,0,0,0,University of Nebraska at Lincoln,1,32
0,Columbus,1,OH,39.998389,0,0,-83.009001,0,0,43210,190 N. Oval Mall,0,1,0,The Ohio State University,0,0
6,New York,10,NY,40.764738,1,5,-73.954839,9,6,10065,"1300 York Ave, C-118",5,9,126,Weill Cornell Medical College,10,136
2,Worcester,3,MA,42.275067,1,2,-71.808792,3,2,01609-2280,100 Institute Road,2,3,78,Worcester Polytechnic Institute,3,78
0,,1,,,0,0,,0,0,,,0,1,0,Centers for Disease Control and Prevention,0,0
0,,1,,,1,1,,1,1,,,0,1,7,North Carolina Museum of Natural Sciences,1,7
9,Madison,34,WI,43.073858,1,8,-89.405356,13,9,53706-1380,500 Lincoln Dr,7,31,198,University of Wisconsin-Madison,20,417
1,,2,,,0.333,1,,1,2,,,0,1,2,Jet Propulsion Laboratory,2,12
10,Baton Rouge,28,LA,30.414805,0.714,7,-91.169552,14,10,70808-4600,"3810 W Lakeshore Dr, Suite 111",6,21,177,Louisiana State University,20,367
1,Chicago,5,IL,41.833801,0.286,2,-87.628346,4,2,60616,3300 S Federal St,1,4,13,Illinois Institute of Technology,5,17
