i10-index,location_city,i10-index (recent),location_state,location_latitude,H-index (m),num_pubs,lon,location_longitude,G-index (recent),H-index,location_zip,location_street,# of Pubs (recent),Cited by (recent),lat,Organization,G-index,Cited by,H-index (recent)
0,Hanover,0,NH,43.704080,1,1,,-72.289951,1,1,03755-3529,207 Parkhurst Hall,1,3,,Dartmouth College,1,3,1
0,Hoboken,0,NJ,40.744776,1,1,,-74.025334,1,1,07030-5991,Castle Point On Hudson,1,9,,Stevens Institute of Technology,1,9,1
0,,0,,,1,1,,,1,1,,,1,6,,Stanford University/ University of Cambridge,1,6,1
0,,0,,,1,3,,,3,2,,,3,8,,University of Texas Health Science Center at Houston,3,8,2
1,,0,,,1,1,,,0,1,,,0,0,,iPlant Collaborative,1,110,0
2,,2,,,1,4,,,4,2,,,4,137,,University of Trento,4,137,2
0,Ypsilanti,0,MI,42.245751,0,1,,-83.624499,0,0,48197,202 Welch Hall,1,0,,Eastern Michigan University,0,0,0
0,Houston,0,TX,29.582523,0,2,,-95.098129,0,0,77058-1002,2700 Bay Area Blvd,2,0,,University of Houston-Clear Lake,0,0,0
0,,0,,,0.5,2,,,2,1,,,2,4,,"Predictive Science, Inc.",2,4,1
2,Gainesville,2,FL,29.649428,0.571,15,,-82.339958,8,4,32611, ,14,56,,University of Florida,8,65,4
0,,0,,,0,1,,,0,0,,,1,0,,University of Reims Champagne-Ardenne,0,0,0
0,Princess Anne,0,MD,38.211188,1,1,,-75.687227,1,1,21853-1299,J.T. Williams Hall,1,3,,"University of Maryland, Eastern Shore",1,3,1
1,,1,,,0.5,7,,,5,3,,,6,19,,University of Texas Medical Branch at Galveston,5,25,2
0,Coral Gables,0,FL,25.720406,0.5,2,,-80.276450,2,1,33146,University of Miami,2,6,,Miami University,2,6,1
0,North Andover,0,MA,42.668352,0.5,2,,-71.124216,2,1,01845,315 Turnpike St,2,2,,Merrimack College,2,2,1
0,,0,,,1,1,,,1,1,,,1,5,,SUNY Health Science Center at Brooklyn,1,5,1
7,,2,,,1,11,,,5,7,,,5,54,,Brookhaven National Laboratory,11,755,2
0,,0,,,1,1,,,1,1,,,1,6,,Univerisity of the Virgin Islands,1,6,1
0,University of Richmond,0,VA,37.577625,1,1,,-77.538702,1,1,23173,28 Westhampton Way,1,6,,University of Richmond,1,6,1
0,San Jose,0,CA,37.335201,2,2,,-121.881214,2,2,95192-0001,One Washington Square,2,8,,San Jose State University,2,8,2
11,,7,,,1,33,,,22,11,,,28,451,,University of Washington,24,564,8
0,,0,,,0,1,,,0,0,,,1,0,,Fred Hutchinson Cancer Research Center,0,0,0
0,,0,,,1,1,,,1,1,,,1,7,,University of Hamburg,1,7,1
2,,0,,,0.273,3,,,1,3,,,1,6,,City University of New York,3,43,1
6,Lexington,4,KY,38.035818,0.429,11,,-84.505653,9,6,40506-0032,South Limestone,9,75,,University of Kentucky,11,114,4
1,Dallas,1,TX,32.845254,1,1,,-96.784855,1,1,75275-0221,6425 Boaz St,1,11,,Southern Methodist University,1,11,1
0,,0,,,2,2,,,2,2,,,2,7,,Jan Evangelista Purkyne University,2,7,2
2,,1,,,0.222,5,,,3,2,,,3,154,,National Institute for Computational Sciences,5,317,1
0,,0,,,0,1,,,0,0,,,1,0,,University of Erlangen-Nuremberg,0,0,0
0,,0,,,0,1,,,0,0,,,1,0,,Globus / University of chicago,0,0,0
0,,0,,,0,1,,,0,0,,,1,0,,Konkuk University,0,0,0
0,Allendale,0,MI,42.965208,1,1,,-85.887519,1,1,49401-9403,1 Campus Dr,1,2,,Grand Valley State University,1,2,1
1,Orlando,1,FL,28.601060,0.75,10,,-81.198805,6,3,32816,4000 Central Florida Blvd,10,29,,University of Central Florida,6,29,3
0,,0,,,0.5,2,,,2,1,,,2,2,,University of Texas MD Anderson Cancer Center,2,2,1
1,,0,,,1,1,,,0,1,,,0,0,,Dalhousie University,1,30,0
2,,2,,,1.5,3,,,3,3,,,3,123,,Oregon Health and Science University,3,123,3
2,,1,,,0.286,2,,,1,2,,,1,152,,"Shodor Education Foundation, Inc.",2,315,1
0,Seattle,0,WA,47.610138,0,1,,-122.319700,0,0,98122-4340,900 Broadway,1,0,,Seattle University,0,0,0
1,,0,,,1,1,,,0,1,,,0,0,,Polish Academy of Sciences,1,48,0
11,Cambridge,10,MA,42.374429,0.909,28,,-71.118177,21,10,02138,Massachusetts Hall,27,406,,Harvard University,21,417,10
4,,1,,,0.19,9,,,4,4,,,4,21,,Lawrence Livermore National Laboratory,9,518,2
1,Milwaukee,1,WI,43.039030,0.333,3,,-87.927961,3,1,53233,1250 W Wisconsin Avenue,3,19,,Marquette University,3,19,1
2,,2,,,1,7,,,7,4,,,7,47,,University of Pittsburgh School of Medicine,7,47,4
1,,1,,,1,1,,,1,1,,,1,715,,Jiangxi Agricultural University,1,715,1
0,Tiffin,0,OH,41.114337,1,1,,-83.166581,1,1,44883-2462,310 E Market St,1,1,,University of Heidelberg,1,1,1
9,Boulder,5,CO,40.004415,1.125,25,,-105.267061,18,9,80309-0017,Regent Drive at Broadway,19,321,,"University of Colorado, Boulder",21,403,6
0,Wichita,0,KS,37.716484,0,1,,-97.296733,0,0,67260-0124,1845 N. Fairmount,1,0,,Wichita State University,0,0,0
1,,0,,,1,1,,,0,1,,,0,0,,Renaissance Computing Institute,1,163,0
0,,0,,,0.6,6,,,5,3,,,5,17,,CUNY The City College of New York,5,20,3
0,Louisville,0,KY,38.215752,0,1,,-85.758843,0,0,40292-0001,2301 S 3rd St,1,0,,University of Louisville,0,0,0
1,,0,,,2,2,,,0,2,,,0,0,,university of michigan Medical School,2,13,0
0,,0,,,1,1,,,1,1,,,1,1,,National Center for Supercomputing Applications,1,1,1
3,New York,2,NY,40.789801,0.75,12,,-73.953445,9,6,10029-6574,"One Gustave L Levy Place, Box 1217",11,77,,Icahn School of Medicine at Mount Sinai,11,112,5
0,,0,,,1,1,,,1,1,,,1,1,,Chevron Corporation,1,1,1
1,,0,,,1,1,,,0,1,,,0,0,,St. John's University,1,27,0
0,,0,,,1,1,,,1,1,,,1,2,,The University of Melbourne,1,2,1
2,,2,,,0.4,2,,,2,2,,,2,41,,"Pennsylvania State University, University Park",2,41,2
1,,1,,,0.667,2,,,2,2,,,2,719,,USDA Agricultural Research Service,2,719,2
4,Houston,4,TX,29.719988,1,11,,-95.344851,11,4,77204-2018,212 E. Cullen Building,11,104,,University of Houston,11,104,4
6,Baltimore,5,MD,39.256686,1.4,12,,-76.711607,10,7,21250,1000 Hilltop Circle,10,914,,"University of Maryland, Baltimore County",12,1011,6
1,,1,,,1,2,,,2,1,,,2,10,,Harvard Medical School,2,10,1
0,Macon,0,GA,32.831709,0,1,,-83.650114,0,0,31207,1501 Mercer University Drive,1,0,,Mercer University,0,0,0
1,,1,,,0.667,4,,,4,2,,,4,19,,University of Texas at El Paso,4,19,2
4,,1,,,1.667,6,,,3,5,,,3,66,,Nvidia Corporation,6,165,2
0,,0,,,1,1,,,0,1,,,0,0,,"University of Puerto Rico, Medical Sciences Campus",1,7,0
0,,0,,,0.667,2,,,2,2,,,2,9,,Andritz Automation,2,9,2
22,Santa Barbara,13,CA,34.416281,1.545,58,,-119.846404,26,17,93106,5221 Cheadle Hall,48,671,,"University of California, Santa Barbara",36,1273,13
1,,1,,,1,1,,,1,1,,,1,12,,Idaho National Laboratory,1,12,1
1,,0,,,0.2,2,,,1,2,,,1,3,,University of L'Aquila,2,41,1
9,,8,,,1.286,48,,,15,9,,,45,249,,"Rutgers, the State University of New Jersey",16,289,9
2,,2,,,0.75,5,,,5,3,,,5,50,,Lawrence Berkeley National Laboratory,5,50,3
0,,0,,,0,1,,,0,0,,,1,0,,University of Tubingen,0,0,0
2,Santa Cruz,2,CA,36.997258,1.5,3,,-122.067993,3,3,95064-1011,1156 High St,3,201,,"University of California, Santa Cruz",3,201,3
1,,1,,,0.333,2,,,2,1,,,2,715,,Dresden University of Technology,2,715,1
0,,0,,,1,1,,,1,1,,,1,1,,"Texas A&M University, Commerce",1,1,1
0,,0,,,0,1,,,0,0,,,1,0,,"Institute of High Energy Physics, CAS",0,0,0
1,Miami,1,FL,25.757111,1,1,,-80.377591,1,1,33199,11200 S. W. 8 Street,1,10,,Florida International University,1,10,1
17,Princeton,17,NJ,40.348530,2.6,33,,-74.663603,25,13,08544-0070,1 Nassau Hall,33,587,,Princeton University,25,587,13
3,,0,,,0.5,14,,,4,5,,,8,14,,San Diego Supercomputer Center,14,229,2
0,Indianapolis,0,IN,39.815340,1,1,,-86.204599,1,1,46222-1997,3200 Cold Spring Rd,1,3,,Marian University,1,3,1
0,,0,,,1,1,,,1,1,,,1,2,,"University of Alabama, Birmingham",1,2,1
1,Swarthmore,0,PA,39.904081,0.667,3,,-75.356066,2,2,19081,500 College Ave,2,6,,Swarthmore College,3,30,1
1,,1,,,1,1,,,1,1,,,1,257,,Harvard-Smithsonian Center for Astrophysics,1,257,1
0,,0,,,0.5,2,,,2,1,,,2,2,,Long Island University,2,2,1
0,Laramie,0,WY,41.311943,0,1,,-105.572040,0,0,82071,Corner of Ninth and Ivinson,1,0,,University of Wyoming,0,0,0
8,,4,,,0.533,40,,,22,8,,,28,451,,Purdue University,28,765,6
29,Cambridge,27,MA,42.360095,1.889,78,,-71.092115,30,17,02139-4307,77 Massachusetts Avenue,74,990,,Massachusetts Institute of Technology,34,1267,16
1,Notre Dame,1,IN,41.703058,0.75,14,,-86.238959,6,3,46556,400 Main Building,14,37,,University of Notre Dame,6,37,3
5,,0,,,0.625,11,,,2,5,,,4,3,,Fermi National Accelerator Laboratory,11,493,1
2,,2,,,0.4,4,,,3,2,,,3,85,,University of Jena,4,87,2
0,,0,,,0,1,,,0,0,,,1,0,,Florida A&M University,0,0,0
0,Kansas City,0,MO,39.035366,0,2,,-94.578039,0,0,64110,5100 Rockhill Rd,2,0,,"University of Missouri, Kansas City",0,0,0
5,Lawrence,4,KS,38.958551,1.167,23,,-95.247618,12,7,66045,"Strong Hall, 1450 Jayhawk Blvd, Room 230",22,148,,University of Kansas,13,158,7
0,,0,,,0,1,,,0,0,,,1,0,,Swiss Federal Institute of Technology in Lausanne,0,0,0
2,Haverford,2,PA,40.013368,0.75,3,,-75.302562,3,3,19041-1392,370  Lancaster Ave,3,159,,Haverford College,3,159,3
1,,0,,,1,1,,,0,1,,,0,0,,Computational Infrastructure for Geodynamics,1,24,0
0,,0,,,0,1,,,0,0,,,1,0,,University of Tokyo,0,0,0
0,Eugene,0,OR,44.044515,1,4,,-123.073980,4,2,97403,110 Johnson Hall,4,15,,University of Oregon,4,15,2
4,,3,,,0.167,4,,,3,4,,,3,140,,Salk Institute for Biological Studies,4,157,3
6,Newark,4,DE,39.679574,1,23,,-75.752917,11,8,19716,104 Hullihen Hall,20,113,,University of Delaware,23,562,6
0,,0,,,1,2,,,2,2,,,2,11,,University of Calgary,2,11,2
2,Durham,0,NC,36.001590,0.286,4,,-78.942260,2,2,27708,103 Allen Bldg,2,2,,Duke University,4,58,1
0,Medford,0,MA,42.406994,1,1,,-71.121689,1,1,02155-5555, ,1,7,,Tufts University,1,7,1
5,,1,,,0.538,16,,,8,7,,,11,52,,SUNY at Stony Brook,16,531,4
1,Athens,0,GA,33.956428,0.75,3,,-83.374049,2,3,30602,Administration Building,2,8,,University of Georgia,3,21,2
1,Dekalb,0,IL,41.933791,0.2,2,,-88.766065,1,1,60115-2828,1425 W. Lincoln Hwy.,1,1,,Northern Illinois University,2,164,1
2,,2,,,1,2,,,2,2,,,2,65,,University of Sussex,2,65,2
0,,0,,,1,1,,,1,1,,,1,8,,University of Gdansk,1,8,1
0,,0,,,1,1,,,1,1,,,1,3,,University of Alberta,1,3,1
6,,5,,,1.333,28,,,16,8,,,27,240,,"University of Tennessee, Knoxville",19,350,7
0,Worcester,0,MA,42.251064,1,1,,-71.823537,1,1,01610-1477,950 Main St,1,4,,Clark University,1,4,1
3,,2,,,0.556,15,,,9,5,,,13,78,,Oak Ridge National Laboratory,15,241,4
11,Houston,8,TX,29.716485,1.111,24,,-95.403625,15,10,77005-1827,6100 S Main,20,216,,Rice University,19,338,9
2,,2,,,1,3,,,3,2,,,3,88,,University of Vienna,3,88,2
1,,0,,,1,1,,,0,1,,,0,0,,National Institutes of Health,1,67,0
2,Stockton,0,CA,37.980624,0.333,5,,-121.307296,0,2,95211-0197,3601 Pacific Ave,2,0,,University of the Pacific,5,201,0
2,Pullman,2,WA,46.730448,0.286,6,,-117.158168,6,4,99164-5910,French Administration Building,6,66,,Washington State University,6,66,4
2,,1,,,0.333,4,,,3,2,,,3,62,,"Office of Atomic Energy, Saclay",4,81,1
1,Biddeford,1,ME,43.458172,1,2,,-70.385882,2,2,04005-9599,11 Hills Beach Rd,2,27,,University of New England,2,27,2
0,,0,,,1,1,,,1,1,,,1,2,,Louisiana Optical Network Initiative,1,2,1
1,Memphis,0,TN,35.118874,0.5,3,,-89.938062,0,2,38152,Southern Avenue,1,0,,University of Memphis,3,28,0
0,Albany,0,GA,31.571395,1,1,,-84.143060,1,1,31705,504 College Drive,1,1,,Albany State University,1,1,1
0,,0,,,0.25,3,,,2,1,,,3,2,,Lester Ingber Research,2,2,1
4,Indianapolis,2,IN,39.772948,0.5,7,,-86.172217,5,4,46202-5143,425 University Blvd,5,102,,Indiana University-Purdue University Indianapolis,7,234,2
48,Champaign,33,IL,40.108864,0.957,184,,-88.230309,28,22,61820-5711,601 E John Street,149,1142,,University of Illinois at Urbana-Champaign,36,1807,17
0,Ruston,0,LA,32.525518,0,1,,-92.649640,0,0,71272,305 Wisteria,1,0,,Louisiana Tech University,0,0,0
19,,15,,,2,65,,,27,14,,,61,779,,University of Michigan,28,865,12
1,,1,,,1,1,,,1,1,,,1,15,,Smithsonian Astrophysical Observatory,1,15,1
3,,1,,,0.571,5,,,3,4,,,3,19,,US Geological Survey,5,70,2
0,,0,,,0,1,,,0,0,,,1,0,,NAGPUR UNIVERSITY,0,0,0
2,,0,,,1,2,,,0,2,,,0,0,,Cold Spring Harbor Laboratory,2,125,0
0,Huntsville,0,AL,34.722818,1,1,,-86.638420,1,1,35899,301 Sparkman Dr,1,5,,University of Alabama in Huntsville,1,5,1
0,,0,,,0,1,,,0,0,,,1,0,,Universite de Strasbourg,0,0,0
4,Boston,1,MA,42.349581,0.714,9,,-71.099840,5,5,02215,One Silber Way,5,23,,Boston University,9,113,2
2,Atlanta,2,GA,33.798836,0.5,7,,-84.325782,6,2,30322,"408 Administration Building, 201 Dowman Drive",7,36,,Emory University,6,36,2
0,,0,,,1,1,,,0,1,,,0,0,,University of Burgundy,1,3,0
0,Baltimore,0,MD,39.344235,0,1,,-76.584238,0,0,21251-0001,1700 East Cold Spring Lane,1,0,,Morgan State University,0,0,0
2,,2,,,0.4,2,,,2,2,,,2,28,,Space Science Institute,2,28,2
2,Des Moines,1,IA,41.603810,0.3,8,,-93.654062,6,3,50311-4505,2507 University Avenue,7,33,,Drake University,8,58,3
0,,0,,,1,1,,,0,1,,,0,0,,Institute of Bioorganic Chemistry Polish Academy of Sciences,1,4,0
0,,0,,,1,1,,,1,1,,,1,3,,Korea Institute for Advanced Study,1,3,1
1,Vestal,1,NY,42.088049,0.4,8,,-75.971143,7,2,13850-6000,4400 Vestal Parkway East,8,46,,SUNY at Binghamton,7,46,2
2,Tallahassee,2,FL,30.442100,1.25,19,,-84.294801,9,5,32306-1037,222 S. Copeland Street,19,80,,Florida State University,9,80,5
4,Philadelphia,2,PA,39.954855,0.429,22,,-75.188745,10,6,19104,3141 Chestnut St,20,91,,Drexel University,15,220,6
0,,0,,,1,1,,,1,1,,,1,6,,Macquarie University,1,6,1
0,,0,,,1,1,,,0,1,,,0,0,,National Cancer Institute,1,3,0
0,Costa Mesa,0,CA,33.662686,0,1,,-117.900911,0,0,92626,55 Fair Dr,1,0,,Vanguard University of Southern California,0,0,0
1,Chicago,0,IL,41.784570,0.667,2,,-87.592521,1,2,60637,6045 S. Kenwood Avenue,1,2,,Toyota Technological Institute at Chicago,2,26,1
3,,3,,,0.75,4,,,4,3,,,4,72,,"Pennsylvania State University Erie, The Behrend College",4,72,3
1,,1,,,1,2,,,2,2,,,2,19,,Japan Agency for Marine-Earth Science and Technology,2,19,2
3,Chicago,0,IL,41.872651,0.667,8,,-87.651145,3,4,60607,601 S Morgan,5,5,,University of Illinois at Chicago,8,181,1
0,New York,0,NY,40.809137,1,1,,-73.964027,0,1,10027-6598,3009 Broadway,0,0,,Barnard College,1,1,0
5,,5,,,1.2,15,,,10,6,,,15,99,,University of Minnesota,10,99,6
0,Mount Pleasant,0,MI,43.591137,1,2,,-84.775275,2,1,48859,106 Warriner Hall,2,3,,Central Michigan University,2,3,1
0,,0,,,0.429,8,,,3,3,,,7,9,,New Mexico State University,4,15,2
0,Williamsburg,0,VA,37.271997,1,4,,-76.709417,4,2,23187-8795,200 Richmond Road,4,12,,College of William and Mary,4,12,2
0,,0,,,1,1,,,1,1,,,1,1,,Pukyung National University,1,1,1
1,Saint Paul,1,MN,44.965696,1,1,,-93.163983,1,1,55104-1284,1536 Hewitt Avenue,1,41,,Hamline University,1,41,1
0,Monterey,0,CA,36.597159,0.5,2,,-121.874248,2,1,93943,1 University Circle,2,2,,Naval Postgraduate School,2,2,1
4,Baltimore,4,MD,39.291510,1.25,7,,-76.625041,7,5,21201-1627,620 West Lexington St,7,92,,"University of Maryland, Baltimore",7,92,5
4,Ames,3,IA,42.026368,1.167,23,,-93.648353,9,7,50011-2030,3410 Beardshear Hall,22,95,,Iowa State University,10,108,6
0,Bozeman,0,MT,45.666829,0,1,,-111.049918,0,0,59717,Montana State University,1,0,,Montana State University,0,0,0
9,Baltimore,8,MD,39.328380,1.5,44,,-76.620799,17,9,21218-2688,3400 N Charles St,42,305,,Johns Hopkins University,17,318,9
1,Corvallis,1,OR,44.562740,0.4,6,,-123.274721,6,2,97331,1500 S.W. Jefferson Avenue,6,67,,Oregon State University,6,67,2
1,Pittsburgh,1,PA,40.437496,0.75,3,,-79.993046,3,3,15282,Administration Bldg 600 Forbes Ave,3,26,,Duquesne University,3,26,3
0,,0,,,0,1,,,0,0,,,1,0,,IBM T.J. Watson Research Center,0,0,0
0,,0,,,0,1,,,0,0,,,1,0,,Hoover Institution,0,0,0
2,,2,,,0.375,7,,,5,3,,,5,67,,"University of North Carolina, Chapel Hill",7,72,2
0,,0,,,1,1,,,1,1,,,1,1,,Nicolaus Copernicus Astronomical Center Polish Academy of Sciences,1,1,1
6,Bethlehem,3,PA,40.607158,0.857,13,,-75.378887,10,6,18015,27 Memorial Drive West,10,90,,Lehigh University,13,165,5
0,,0,,,1,1,,,1,1,,,1,1,,US Pacific Basin Agricultural Research Center,1,1,1
0,Potsdam,0,NY,44.663761,0,1,,-74.999947,0,0,13699,8 Clarkson Ave,1,0,,Clarkson University,0,0,0
2,San Francisco,2,CA,37.762736,0.5,6,,-122.458049,5,4,94143-0244,500 Parnassus Ave,5,31,,"University of California, San Francisco",6,39,3
0,,0,,,1,1,,,1,1,,,1,1,,Harbin Institute of Technology,1,1,1
0,Durham,0,NC,35.974237,0,2,,-78.898602,0,0,27707,1801 Fayetteville Street,2,0,,North Carolina Central University,0,0,0
0,,0,,,0.333,2,,,2,1,,,2,4,,North Carolina A&T State University,2,4,1
0,,0,,,1,1,,,1,1,,,1,2,,SUNY Health Science Center at Syracuse,1,2,1
0,,0,,,1,1,,,1,1,,,1,2,,Nanjing University,1,2,1
0,,0,,,0.333,3,,,0,1,,,2,0,,University College London,2,4,0
0,Hampton,0,VA,37.019900,0,2,,-76.331108,0,0,23668-0099,E Queen Street,1,0,,Hampton University,0,0,0
0,Springfield,0,IL,39.729862,1,1,,-89.614917,0,1,62703-5407,One University Plaza,0,0,,University of Illinois at Springfield,1,3,0
0,,0,,,1,1,,,0,1,,,0,0,,Zhejiang University,1,3,0
0,,0,,,0.25,3,,,2,1,,,3,3,,University of Texas Health Science Center at San Antonio,2,3,1
8,,6,,,1.333,27,,,17,8,,,25,283,,University of Virginia,20,370,8
0,,0,,,1,1,,,1,1,,,1,4,,University Corporation for Atmospheric Research,1,4,1
0,,0,,,1,1,,,1,1,,,1,1,,Montpellier 2 University,1,1,1
4,Amherst,2,MA,42.386162,0.625,10,,-72.526170,6,5,01003,374 Whitmore Building 181 Presidents Drive,8,34,,"University of Massachusetts, Amherst",10,231,3
0,Topeka,0,KS,39.034977,1,1,,-95.702325,0,1,66621-0001,1700 SW College Avenue,0,0,,Washburn University,1,1,0
0,,0,,,1,2,,,2,1,,,2,5,,University of Siena,2,5,1
2,Clemson,1,SC,34.677329,0.286,4,,-82.834463,3,2,29634,201 Sikes Hall,3,14,,Clemson University,4,177,1
8,New Haven,4,CT,41.311158,1,15,,-72.926688,10,9,06520,Woodbridge Hall,11,96,,Yale University,15,545,5
7,Boston,4,MA,42.339992,1,10,,-71.088782,6,7,02115-5005,360 Huntington Ave,6,154,,Northeastern University,10,270,4
0,,0,,,1,1,,,1,1,,,1,4,,"University of Hawaii, Manoa",1,4,1
12,Tucson,7,AZ,32.232071,1.5,25,,-110.950769,16,12,85721-0066,1401 E University,16,425,,University of Arizona,25,842,9
3,,1,,,0.429,3,,,1,3,,,1,21,,Vienna University of Technology,3,163,1
2,Houston,1,TX,29.710600,0.455,7,,-95.395743,5,5,77030-3498,One Baylor Plaza,5,29,,Baylor College of Medicine,7,49,3
11,,9,,,1.571,35,,,15,11,,,32,240,,University of Oklahoma,17,311,9
1,,0,,,1,1,,,0,1,,,0,0,,National Institute of Standards and Technology,1,28,0
0,,0,,,1,5,,,2,2,,,5,4,,Individual Award/Unaffiliated,2,4,2
1,,0,,,1,1,,,0,1,,,0,0,,Jefferson Laboratory,1,13,0
0,,0,,,1,1,,,0,1,,,0,0,,"VorCat, Inc.",1,5,0
3,,1,,,0.375,3,,,1,3,,,1,21,,Autonomous University of Madrid,3,74,1
0,,0,,,0.333,3,,,2,1,,,3,4,,Albert Einstein College of Medicine,2,4,1
0,,0,,,0,1,,,0,0,,,1,0,,University of Zurich,0,0,0
3,,2,,,1,7,,,6,6,,,6,123,,Multidisciplinary Center for Astrophysics,7,135,5
8,Davis,3,CA,38.539895,1,22,,-121.751958,9,8,95616-8678,One Shields Avenue,16,82,,"University of California, Davis",22,576,5
4,Storrs,4,CT,41.806261,1.667,8,,-72.247969,8,5,06269,352 Mansfield Road,8,82,,University of Connecticut,8,82,5
0,,0,,,1,3,,,3,1,,,3,7,,National Renewable Energy Laboratory,3,7,1
1,Mississippi State,1,MS,33.454809,0.2,3,,-88.788979,3,1,39762,Lee Boulevard,3,12,,Mississippi State University,3,12,1
1,,1,,,1,1,,,1,1,,,1,33,,Institute of High Energy Physics,1,33,1
1,Philadelphia,1,PA,39.949062,1,1,,-75.158147,1,1,19107,1020 Walnut Street,1,29,,Thomas Jefferson University,1,29,1
2,,1,,,0.6,3,,,2,3,,,2,22,,Heidelberg Institute for Theoretical Studies,3,132,2
1,Muncie,0,IN,40.198942,1,1,,-85.408863,0,1,47306,2000 University Ave,0,0,,Ball State University,1,163,0
22,Chicago,19,IL,41.789170,2,50,,-87.601196,28,18,60637,5801 S Ellis Ave,44,748,,University of Chicago,31,959,16
2,,1,,,0.6,4,,,3,3,,,3,19,,Colorado State University,4,32,3
0,Arlington,0,TX,32.728437,1,1,,-97.115087,1,1,76013,701 S. Nedderman Dr.,1,1,,The University of Texas at Arlington,1,1,1
0,,0,,,0,1,,,0,0,,,1,0,,Trinity College Dublin,0,0,0
1,,0,,,1,1,,,0,1,,,0,0,,University of California at San Diego,1,94,0
2,Northridge,2,CA,34.236710,0.75,6,,-118.526817,6,3,91330,18111 Nordhoff St,6,47,,California State University-Northridge,6,47,3
0,Fayetteville,0,NC,35.072485,0,1,,-78.894709,0,0,28301-4298,1200 Murchison Rd,0,0,,Fayetteville State University,0,0,0
0,Long Beach,0,CA,33.782752,0,2,,-118.112300,0,0,90840-0115,1250 Bellflower Blvd,1,0,,California State University-Long Beach,0,0,0
1,,1,,,1,3,,,3,2,,,3,32,,Huntsman Cancer Institute,3,32,2
1,Colorado Springs,0,CO,38.892735,1,1,,-104.800296,0,1,80918,1420 Austin Bluffs Parkway,0,0,,"University of Colorado, Colorado Springs",1,67,0
0,,0,,,0.6,9,,,5,3,,,9,25,,University of New Mexico,5,25,3
0,,0,,,0,1,,,0,0,,,1,0,,Univeristy of California,0,0,0
1,,1,,,1,2,,,2,2,,,2,65,,University of Hong Kong,2,65,2
0,Harrisonburg,0,VA,38.435332,0,2,,-78.871663,0,0,22807,800 South Main Street,2,0,,James Madison University,0,0,0
2,Jackson,2,MS,32.296781,0.8,9,,-90.206630,8,4,39217,1400 J R Lynch Street,9,52,,Jackson State University,8,52,4
4,Fayetteville,3,AR,36.061530,0.833,11,,-94.178214,8,5,72701,Administration Bldg 425,10,58,,University of Arkansas,11,125,4
