Organization,num_pubs,# of Pubs (recent),Cited by,Cited by (recent),H-index,H-index (recent),H-index (m),G-index,G-index (recent),i10-index,i10-index (recent),lat,lon
Emory University,7,7,36,36,2,2,0.5,6,6,2,2,,
University of Burgundy,1,0,3,0,1,0,1,1,0,0,0,,
Morgan State University,1,1,0,0,0,0,0,0,0,0,0,,
Space Science Institute,2,2,28,28,2,2,0.4,2,2,2,2,,
Drake University,8,7,58,33,3,3,0.3,8,6,2,1,,
Institute of Bioorganic Chemistry Polish Academy of Sciences,1,0,4,0,1,0,1,1,0,0,0,,
Korea Institute for Advanced Study,1,1,3,3,1,1,1,1,1,0,0,,
SUNY at Binghamton,8,8,46,46,2,2,0.4,7,7,1,1,,
Florida State University,19,19,80,80,5,5,1.25,9,9,2,2,,
Drexel University,22,20,220,91,6,6,0.429,15,10,4,2,,
Macquarie University,1,1,6,6,1,1,1,1,1,0,0,,
National Cancer Institute,1,0,3,0,1,0,1,1,0,0,0,,
Vanguard University of Southern California,1,1,0,0,0,0,0,0,0,0,0,,
Toyota Technological Institute at Chicago,2,1,26,2,2,1,0.667,2,1,1,0,,
"Pennsylvania State University Erie, The Behrend College",4,4,72,72,3,3,0.75,4,4,3,3,,
Japan Agency for Marine-Earth Science and Technology,2,2,19,19,2,2,1,2,2,1,1,,
University of Illinois at Chicago,8,5,181,5,4,1,0.667,8,3,3,0,,
Barnard College,1,0,1,0,1,0,1,1,0,0,0,,
University of Minnesota,15,15,99,99,6,6,1.2,10,10,5,5,,
Central Michigan University,2,2,3,3,1,1,1,2,2,0,0,,
New Mexico State University,8,7,15,9,3,2,0.429,4,3,0,0,,
College of William and Mary,4,4,12,12,2,2,1,4,4,0,0,,
Pukyung National University,1,1,1,1,1,1,1,1,1,0,0,,
Hamline University,1,1,41,41,1,1,1,1,1,1,1,,
Naval Postgraduate School,2,2,2,2,1,1,0.5,2,2,0,0,,
"University of Maryland, Baltimore",7,7,92,92,5,5,1.25,7,7,4,4,,
Iowa State University,23,22,108,95,7,6,1.167,10,9,4,3,,
Montana State University,1,1,0,0,0,0,0,0,0,0,0,,
Johns Hopkins University,44,42,318,305,9,9,1.5,17,17,9,8,,
Oregon State University,6,6,67,67,2,2,0.4,6,6,1,1,,
Duquesne University,3,3,26,26,3,3,0.75,3,3,1,1,,
IBM T.J. Watson Research Center,1,1,0,0,0,0,0,0,0,0,0,,
Hoover Institution,1,1,0,0,0,0,0,0,0,0,0,,
"University of North Carolina, Chapel Hill",7,5,72,67,3,2,0.375,7,5,2,2,,
Nicolaus Copernicus Astronomical Center Polish Academy of Sciences,1,1,1,1,1,1,1,1,1,0,0,,
Lehigh University,13,10,165,90,6,5,0.857,13,10,6,3,,
US Pacific Basin Agricultural Research Center,1,1,1,1,1,1,1,1,1,0,0,,
Clarkson University,1,1,0,0,0,0,0,0,0,0,0,,
"University of California, San Francisco",6,5,39,31,4,3,0.5,6,5,2,2,,
Harbin Institute of Technology,1,1,1,1,1,1,1,1,1,0,0,,
North Carolina Central University,2,2,0,0,0,0,0,0,0,0,0,,
North Carolina A&T State University,2,2,4,4,1,1,0.333,2,2,0,0,,
SUNY Health Science Center at Syracuse,1,1,2,2,1,1,1,1,1,0,0,,
Nanjing University,1,1,2,2,1,1,1,1,1,0,0,,
University College London,3,2,4,0,1,0,0.333,2,0,0,0,,
Hampton University,2,1,0,0,0,0,0,0,0,0,0,,
University of Illinois at Springfield,1,0,3,0,1,0,1,1,0,0,0,,
Zhejiang University,1,0,3,0,1,0,1,1,0,0,0,,
University of Texas Health Science Center at San Antonio,3,3,3,3,1,1,0.25,2,2,0,0,,
University of Virginia,27,25,370,283,8,8,1.333,20,17,8,6,,
University Corporation for Atmospheric Research,1,1,4,4,1,1,1,1,1,0,0,,
Montpellier 2 University,1,1,1,1,1,1,1,1,1,0,0,,
"University of Massachusetts, Amherst",10,8,231,34,5,3,0.625,10,6,4,2,,
Washburn University,1,0,1,0,1,0,1,1,0,0,0,,
University of Siena,2,2,5,5,1,1,1,2,2,0,0,,
Clemson University,4,3,177,14,2,1,0.286,4,3,2,1,,
Yale University,15,11,545,96,9,5,1,15,10,8,4,,
Northeastern University,10,6,270,154,7,4,1,10,6,7,4,,
"University of Hawaii, Manoa",1,1,4,4,1,1,1,1,1,0,0,,
University of Arizona,25,16,842,425,12,9,1.5,25,16,12,7,,
Vienna University of Technology,3,1,163,21,3,1,0.429,3,1,3,1,,
Baylor College of Medicine,7,5,49,29,5,3,0.455,7,5,2,1,,
University of Oklahoma,35,32,311,240,11,9,1.571,17,15,11,9,,
National Institute of Standards and Technology,1,0,28,0,1,0,1,1,0,1,0,,
Individual Award/Unaffiliated,5,5,4,4,2,2,1,2,2,0,0,,
Jefferson Laboratory,1,0,13,0,1,0,1,1,0,1,0,,
"VorCat, Inc.",1,0,5,0,1,0,1,1,0,0,0,,
Autonomous University of Madrid,3,1,74,21,3,1,0.375,3,1,3,1,,
Albert Einstein College of Medicine,3,3,4,4,1,1,0.333,2,2,0,0,,
University of Zurich,1,1,0,0,0,0,0,0,0,0,0,,
Multidisciplinary Center for Astrophysics,7,6,135,123,6,5,1,7,6,3,2,,
"University of California, Davis",22,16,576,82,8,5,1,22,9,8,3,,
University of Connecticut,8,8,82,82,5,5,1.667,8,8,4,4,,
National Renewable Energy Laboratory,3,3,7,7,1,1,1,3,3,0,0,,
Mississippi State University,3,3,12,12,1,1,0.2,3,3,1,1,,
Institute of High Energy Physics,1,1,33,33,1,1,1,1,1,1,1,,
Thomas Jefferson University,1,1,29,29,1,1,1,1,1,1,1,,
Heidelberg Institute for Theoretical Studies,3,2,132,22,3,2,0.6,3,2,2,1,,
Ball State University,1,0,163,0,1,0,1,1,0,1,0,,
University of Chicago,50,44,959,748,18,16,2,31,28,22,19,,
Colorado State University,4,3,32,19,3,3,0.6,4,3,2,1,,
The University of Texas at Arlington,1,1,1,1,1,1,1,1,1,0,0,,
Trinity College Dublin,1,1,0,0,0,0,0,0,0,0,0,,
University of California at San Diego,1,0,94,0,1,0,1,1,0,1,0,,
California State University-Northridge,6,6,47,47,3,3,0.75,6,6,2,2,,
Fayetteville State University,1,0,0,0,0,0,0,0,0,0,0,,
California State University-Long Beach,2,1,0,0,0,0,0,0,0,0,0,,
Huntsman Cancer Institute,3,3,32,32,2,2,1,3,3,1,1,,
"University of Colorado, Colorado Springs",1,0,67,0,1,0,1,1,0,1,0,,
University of New Mexico,9,9,25,25,3,3,0.6,5,5,0,0,,
Univeristy of California,1,1,0,0,0,0,0,0,0,0,0,,
University of Hong Kong,2,2,65,65,2,2,1,2,2,1,1,,
James Madison University,2,2,0,0,0,0,0,0,0,0,0,,
Jackson State University,9,9,52,52,4,4,0.8,8,8,2,2,,
University of Arkansas,11,10,125,58,5,4,0.833,11,8,4,3,,
